Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score,Status
0.56045,22.5,110.0,0.5,4.25,16.950000000000003,9.4,0.05,0.05,0.07,1
0.543919846285202,17.5,40.0,0.8500000000000001,4.0,11.9,6.9,0.0,0.0,0.07,1
0.5424232013738768,17.5,15.0,0.5,4.8,10.4,10.5,0.0,0.0,0.07,1
0.8655,103.91244328298157,348.170576371716,0.5,6.5,8.1,3.0,1.0,0.4,0.07,1
0.541157136407256,23.513963828973207,54.349102508802844,0.5,4.1,7.15,6.35,0.0,0.0,0.07,1
0.0,104.97700527442441,298.0756174984449,0.5,5.1,4.6,0.7,1.3,0.7,0.07,1
0.6249,123.36695289037621,385.23263621693434,0.5,5.6,6.5,0.7,1.5,0.8,0.07,1
0.5422871838519531,82.31622965449932,315.4352940434317,0.5,4.75,6.9,1.35,0.0,0.0,0.07,1
0.8221,55.02632631572126,239.80345381046936,0.5,4.2,12.7,6.8,0.0,0.0,0.07,1
0.5601804470935415,150.0,810.0,0.5,4.199999999999999,15.25,6.300000000000001,0.0,0.0,0.07,1
